parent_company,sector,total_scope1_emissions_mtco2e,facility_count
WEC ENERGY GROUP INC,Utilities,285127.0,1
AXIUM KINGS MOUNTAIN LLC,Utilities,284653.98,1
CEI KINGS MOUNTAIN HOLDINGS LLC,Utilities,284653.98,1
APPLETON PROPERTY VENTURES LLC,Utilities,283463.0,1
HPJV1LLC,Utilities,281208.7,1
Salem Harbor Power Development LP,Utilities,278894.0,1
CITY OF HASTINGS NEBRASKA,Utilities,274420.25,1
"JACKRABBIT POWER HOLDINGS, LLC",Utilities,268129.0,1
ULLICO INFRASTRUCTURE MASTER FUND LP,Utilities,265533.54,1
MT CARMEL COGEN INC,Utilities,250388.0,1
MILLENNIUM POWER CO LLC,Utilities,243808.0,1
AXINFRA US LP,Utilities,239500.68,1
CITY OF AMES IOWA,Utilities,238781.0,2
HILL TOP MM RH LP,Utilities,234333.92,1
MITSUBISHI CORP (AMERICAS),Utilities,228417.0,4
ATLANTIC POWER CORP,Utilities,221965.0,2
GRANITE SHORE POWER LLC,Utilities,220842.0,3
UTAH ASSOCIATED MUNICIPAL POWER SYSTEMS,Utilities,218486.21,1
MICHIGAN PUBLIC POWER AGENCY,Utilities,215850.81,2
VICTOR RHINO HOLDINGS II LLC,Utilities,209131.89,1
FREEPORT-MCMORAN INC,Chemicals/Materials,207964.5,1
SOUTHWEST ENERGY LLC,Chemicals/Materials,207964.5,1
BOWFIN KEYCON POWER LLC,Utilities,207127.04,2
MUNICIPAL ENERGY AGENCY OF MISSISSIPPI,Utilities,202578.72,1
CONSOLIDATED WY MUNICIPALITIES ELECTRIC POWER SYSTEM,Utilities,201184.91,1
COUNTRYMARK COOPERATIVE HOLDING CORP,Energy,196503.0,1
HARDEE POWER PARTNERS LTD,Utilities,195413.13,1
CITY OF FARMINGTON NEW MEXICO,Utilities,195224.0,1
CONWAY CORP,Utilities,190908.3,2
MEGLOBAL AMERICAS INC,Chemicals/Materials,188017.0,1
BLACKROCK INC,Utilities,187749.87,1
HUSKY SUPERIOR REFINING HOLDING CORP,Energy,185344.0,1
HONEYWELL INTERNATIONAL INC,Chemicals/Materials,185099.0,2
HARRISON STREET SOCIAL INFRASTRUCTURE FUND A LP,Utilities,183298.22,1
TRANSWORLD OIL USA INC,Energy,177038.0,1
CASEY CO,Energy,174035.0,1
KINDER MORGAN INC,Energy,173227.0,1
GENON HOLDINGS LLC,Utilities,169890.0,1
CITY OF REDDING CALIFORNIA,Utilities,169404.0,1
CLEARWAY ENERGY GROUP LLC,Utilities,162274.0,1
JOHN HANCOCK MANULIFE,Utilities,161757.28,1
MUNICIPAL ELECTRIC UTILITY OF THE CITY OF CEDAR FALLS IOWA,Utilities,161580.09,2
MODESTO IRRIGATION DISTRICT INC,Utilities,155563.0,2
ROSEVILLE ELECTRIC,Utilities,153906.0,1
Invenergy Nelson Expansion LLC,Utilities,152472.0,1
WYOMING MUNICIPAL POWER AGENCY INC,Utilities,150419.59,1
CITY OF VERNON CALIFORNIA,Utilities,147403.0,1
WALTON COUNTY POWER LLC,Utilities,139397.0,1
ITAFOS CONDA HOLDINGS,Chemicals/Materials,138625.0,1
CLARKSDALE PUBLIC UTILITIES COMMISSION,Utilities,138306.0,1
